ID,Translation-Batak
K5125,http://btkword-rdf.com/B1285
K5125,http://btkword-rdf.com/B4982
K5134,http://btkword-rdf.com/B7808
K5165,http://btkword-rdf.com/B7863
K5170,http://btkword-rdf.com/B3556
K5173,http://btkword-rdf.com/B1755
K5195,http://btkword-rdf.com/B8223
K5198,http://btkword-rdf.com/B8790
K5200,http://btkword-rdf.com/B10032
K5202,http://btkword-rdf.com/B1307
K5202,http://btkword-rdf.com/B3643
K5228,http://btkword-rdf.com/B1457
K5228,http://btkword-rdf.com/B7459
K5228,http://btkword-rdf.com/B9202
K5228,http://btkword-rdf.com/B10334
K5228,http://btkword-rdf.com/B10421
K5234,http://btkword-rdf.com/B753
K5234,http://btkword-rdf.com/B5739
K5237,http://btkword-rdf.com/B1095
K5237,http://btkword-rdf.com/B3671
K5237,http://btkword-rdf.com/B4863
K5237,http://btkword-rdf.com/B7796
K5237,http://btkword-rdf.com/B9329
K5240,http://btkword-rdf.com/B1310
K5240,http://btkword-rdf.com/B10909
K5263,http://btkword-rdf.com/B823
K5263,http://btkword-rdf.com/B824
K5272,http://btkword-rdf.com/B10382
K5272,http://btkword-rdf.com/B10567
K5284,http://btkword-rdf.com/B6839
K5284,http://btkword-rdf.com/B9885
K5292,http://btkword-rdf.com/B5376
K5307,http://btkword-rdf.com/B4439
K5307,http://btkword-rdf.com/B4534
K5310,http://btkword-rdf.com/B1331
K5310,http://btkword-rdf.com/B1436
K5310,http://btkword-rdf.com/B2670
K5310,http://btkword-rdf.com/B2870
K5335,http://btkword-rdf.com/B1047
K5335,http://btkword-rdf.com/B7351
K5335,http://btkword-rdf.com/B7357
K5347,http://btkword-rdf.com/B4446
K5347,http://btkword-rdf.com/B6420
K5355,http://btkword-rdf.com/B1343
K5355,http://btkword-rdf.com/B5187
K5355,http://btkword-rdf.com/B9907
K5360,http://btkword-rdf.com/B3876
K5360,http://btkword-rdf.com/B10350
K5363,http://btkword-rdf.com/B952
K5363,http://btkword-rdf.com/B7737
K5374,http://btkword-rdf.com/B6533
K5374,http://btkword-rdf.com/B9405
K5374,http://btkword-rdf.com/B9465
K5379,http://btkword-rdf.com/B2985
K5393,http://btkword-rdf.com/B8827
K5400,http://btkword-rdf.com/B7130
K5400,http://btkword-rdf.com/B9885
K5413,http://btkword-rdf.com/B2398
K5413,http://btkword-rdf.com/B8354
K5413,http://btkword-rdf.com/B8954
K5413,http://btkword-rdf.com/B10486
K5413,http://btkword-rdf.com/B10549
K5433,http://btkword-rdf.com/B499
K5433,http://btkword-rdf.com/B10476
K5437,http://btkword-rdf.com/B894
K5455,http://btkword-rdf.com/B1051
K5455,http://btkword-rdf.com/B3459
K5479,http://btkword-rdf.com/B8730
K5484,http://btkword-rdf.com/B5752
K5512,http://btkword-rdf.com/B9695
K5513,http://btkword-rdf.com/B1399
K5517,http://btkword-rdf.com/B2956
K5517,http://btkword-rdf.com/B4110
K5517,http://btkword-rdf.com/B6023
K5517,http://btkword-rdf.com/B6433
K5523,http://btkword-rdf.com/B5886
K5525,http://btkword-rdf.com/B5699
K5585,http://btkword-rdf.com/B2187
K5596,http://btkword-rdf.com/B6183
K5624,http://btkword-rdf.com/B1386
K5630,http://btkword-rdf.com/B3792
K5632,http://btkword-rdf.com/B912
K5632,http://btkword-rdf.com/B2441
K5632,http://btkword-rdf.com/B4141
K5632,http://btkword-rdf.com/B4346
K5632,http://btkword-rdf.com/B6928
K5632,http://btkword-rdf.com/B7760
K5637,http://btkword-rdf.com/B5963
