ID,Translation-English
K344,http://wordnet-rdf.princeton.edu/wn31/100348316-n
K344,http://wordnet-rdf.princeton.edu/wn31/101264338-n
K344,http://wordnet-rdf.princeton.edu/wn31/114608196-n
K344,http://wordnet-rdf.princeton.edu/wn31/201451829-v
K344,http://wordnet-rdf.princeton.edu/wn31/301565822-s
K344,http://wordnet-rdf.princeton.edu/wn31/302314706-s
K356,http://wordnet-rdf.princeton.edu/wn31/106335348-n
K357,http://wordnet-rdf.princeton.edu/wn31/105712043-n
K359,http://wordnet-rdf.princeton.edu/wn31/113449162-n
K360,http://wordnet-rdf.princeton.edu/wn31/109794206-n
K361,http://wordnet-rdf.princeton.edu/wn31/100201093-n
K361,http://wordnet-rdf.princeton.edu/wn31/113449332-n
K362,http://wordnet-rdf.princeton.edu/wn31/102685423-n
K365,http://wordnet-rdf.princeton.edu/wn31/100627098-n
K365,http://wordnet-rdf.princeton.edu/wn31/300069175-a
K365,http://wordnet-rdf.princeton.edu/wn31/300069826-a
K368,http://wordnet-rdf.princeton.edu/wn31/106123958-n
K371,http://wordnet-rdf.princeton.edu/wn31/109212186-n
K374,http://wordnet-rdf.princeton.edu/wn31/106106520-n
K377,http://wordnet-rdf.princeton.edu/wn31/102685776-n
K377,http://wordnet-rdf.princeton.edu/wn31/302270740-s
K391,http://wordnet-rdf.princeton.edu/wn31/300857434-s
K395,http://wordnet-rdf.princeton.edu/wn31/106319039-n
K395,http://wordnet-rdf.princeton.edu/wn31/201300869-v
K395,http://wordnet-rdf.princeton.edu/wn31/201331387-v
K395,http://wordnet-rdf.princeton.edu/wn31/201359073-v
K399,http://wordnet-rdf.princeton.edu/wn31/100380230-n
K399,http://wordnet-rdf.princeton.edu/wn31/100929509-n
K399,http://wordnet-rdf.princeton.edu/wn31/106187639-n
K400,http://wordnet-rdf.princeton.edu/wn31/101083985-n
K400,http://wordnet-rdf.princeton.edu/wn31/108026210-n
K400,http://wordnet-rdf.princeton.edu/wn31/109795787-n
K400,http://wordnet-rdf.princeton.edu/wn31/113953418-n
K400,http://wordnet-rdf.princeton.edu/wn31/202440158-v
K400,http://wordnet-rdf.princeton.edu/wn31/202595401-v
K401,http://wordnet-rdf.princeton.edu/wn31/104695997-n
K401,http://wordnet-rdf.princeton.edu/wn31/104755038-n
K401,http://wordnet-rdf.princeton.edu/wn31/113833622-n
K401,http://wordnet-rdf.princeton.edu/wn31/113834508-n
K401,http://wordnet-rdf.princeton.edu/wn31/113835495-n
K402,http://wordnet-rdf.princeton.edu/wn31/101188682-n
K402,http://wordnet-rdf.princeton.edu/wn31/106697543-n
K402,http://wordnet-rdf.princeton.edu/wn31/106745099-n
K402,http://wordnet-rdf.princeton.edu/wn31/107217786-n
K409,http://wordnet-rdf.princeton.edu/wn31/107133698-n
K412,http://wordnet-rdf.princeton.edu/wn31/106351417-n
K413,http://wordnet-rdf.princeton.edu/wn31/104493701-n
K413,http://wordnet-rdf.princeton.edu/wn31/105828606-n
K413,http://wordnet-rdf.princeton.edu/wn31/107629089-n
K413,http://wordnet-rdf.princeton.edu/wn31/200713761-v
K413,http://wordnet-rdf.princeton.edu/wn31/202599051-v
K413,http://wordnet-rdf.princeton.edu/wn31/202713983-v
K416,http://wordnet-rdf.princeton.edu/wn31/102686942-n
K419,http://wordnet-rdf.princeton.edu/wn31/101690619-n
K419,http://wordnet-rdf.princeton.edu/wn31/104834406-n
K419,http://wordnet-rdf.princeton.edu/wn31/105955536-n
K419,http://wordnet-rdf.princeton.edu/wn31/106216205-n
K419,http://wordnet-rdf.princeton.edu/wn31/108098545-n
K426,http://wordnet-rdf.princeton.edu/wn31/113455293-n
K428,http://wordnet-rdf.princeton.edu/wn31/104943390-n
K428,http://wordnet-rdf.princeton.edu/wn31/114754732-n
K428,http://wordnet-rdf.princeton.edu/wn31/114924159-n
K428,http://wordnet-rdf.princeton.edu/wn31/114924335-n
K428,http://wordnet-rdf.princeton.edu/wn31/200566158-v
