ID,Translation-Indonesia
B1451,K4904
B1452,K53306
B1452,K24842
B1453,K65011
B1455,K32239
B1456,K10463
B1457,K5228
B1465,K58533
B1465,K10623
B1466,K9844
B1466,K1427
B1469,K10639
B1470,K10642
B1473,K58533
B1476,K11296
B1479,K4266
B1480,K10629
B1481,K33293
B1487,K10747
B1488,K10759
B1490,K36990
B1490,K53309
B1490,K71167
B1497,K6227
B1500,K10759
B1502,K10810
B1505,K20832
B1511,K5004
B1512,K4266
B1529,K13271
B1530,K60273
B1530,K46214
B1530,K69940
B1532,K30799
B1536,K67972
B1540,K34926
B1540,K26598
B1540,K10963
B1545,K67350
B1548,K10735
B1559,K11036
B1561,K61186
B1573,K11084
B1575,K30160
B1575,K30850
B1575,K11328
B1575,K33890
B1577,K569
B1577,K11850
B1577,K10711
B1581,K10608
B1581,K10261
B1582,K58851
B1582,K5645
B1583,K19371
B1583,K31551
B1588,K12640
B1593,K3672
B1593,K56994
B1593,K3671
B1595,K71100
B1596,K31814
B1604,K61190
B1610,K11137
B1611,K71079
B1611,K22592
B1611,K69702
B1611,K11150
B1611,K4930
B1611,K11265
B1617,K60348
B1618,K17808
B1618,K19091
B1619,K17808
B1620,K33349
B1622,K11221
B1629,K11296
B1632,K26932
B1633,K54554
B1639,K30996
B1644,K22454
B1647,K36014
B1648,K56780
B1648,K58362
B1652,K22592
B1652,K48974
B1652,K11150
B1654,K71504
B1654,K342
B1658,K48033
B1658,K51272
B1664,K69762
B1664,K3401
B1676,K13010
B1676,K69140
B1677,K50106
B1678,K57307
B1680,K34088
B1680,K20629
B1682,K26785
B1682,K47834
B1686,K1567
B1686,K10236
B1694,K64575
B1696,K70095
B1701,K54652
B1701,K53021
B1703,K13025
B1707,K3190
B1707,K4283
B1711,K58647
B1711,K1021
B1711,K1385
B1713,K15821
B1717,K54969
B1717,K71053
B1719,K15833
B1724,K22221
B1724,K12026
B1727,K27031
B1727,K22108
B1729,K44501
B1730,K13762
B1734,K30830
B1736,K30379
B1736,K17204
B1738,K32165
B1740,K27528
B1740,K4470
B1742,K12969
B1744,K61531
B1744,K55034
B1744,K60280
B1746,K60805
B1753,K47621
B1755,K68876
B1755,K5173
B1760,K28182
B1761,K13153
B1761,K38957
B1761,K25139
B1764,K46687
B1764,K52167
B1765,K30304
B1769,K65452
B1769,K30956
B1773,K60280
B1773,K20573
B1776,K13168
B1776,K19171
B1777,K59466
B1778,K66809
B1781,K68982
B1781,K70563
B1782,K13216
B1784,K70584
B1785,K11645
B1790,K14983
B1795,K32126
B1796,K31828
B1797,K13269
B1797,K59316
B1797,K3672
B1797,K63518
B1797,K1239
B1800,K15043
B1803,K4266
B1806,K60114
B1810,K20931
B1810,K639
B1812,K19371
B1813,K21390
B1816,K22454
B1819,K56727
B1825,K47542
B1825,K3671
B1825,K58647
B1825,K13048
B1827,K63144
B1835,K35084
B1835,K66211
B1835,K66200
B1836,K3671
B1836,K58647
B1836,K3487
B1838,K11780
B1838,K65715
B1838,K15536
B1840,K20727
B1849,K66873
B1849,K14211
B1849,K47582
B1856,K2656
B1857,K34699
B1866,K48326
B1866,K14133
B1866,K70922
B1869,K34122
B1869,K2298
B1870,K14211
B1870,K70235
B1873,K14317
B1875,K34196
B1886,K32615
B1890,K22947
B1895,K49433
B1895,K57284
B1895,K30200
B1895,K68653
B1900,K66211
B1902,K54955
B1902,K12764
B1902,K55017
B1902,K2438
B1902,K293
B1908,K11672
B1916,K66200
B1919,K55988
B1919,K3401
B1919,K14481
B1933,K30996
B1933,K23590
B1936,K13910
B1936,K31826
B1938,K62762
B1938,K2050
B1942,K13451
B1943,K66317
B1943,K11630
B1944,K70559
B1944,K14952
B1945,K10245
B1945,K15018
B1949,K71510
B1949,K342
B1952,K10245
B1955,K54524
B1955,K46270
B1955,K70924
B1959,K13559
B1960,K13090
B1960,K13780
B1960,K20910
B1960,K1797
B1967,K61461
B1968,K9866
B1968,K60280
B1968,K9772
B1971,K5731
B1974,K27343
B1975,K22546
B1975,K50833
B1983,K19033
B1983,K10747
B1983,K30956
B1983,K25299
B1986,K18511
B1991,K40145
B1994,K41370
B1994,K2438
B1996,K13746
B1999,K8486
B1999,K12489
B1999,K8426
B2002,K59712
B2002,K21199
B2002,K23766
B2002,K63518
B2002,K1865
B2007,K24935
B2007,K66595
B2020,K13559
B2023,K37093
B2023,K41372
B2023,K8946
B2025,K30977
B2025,K34605
B2032,K13910
B2032,K12114
B2033,K9942
B2038,K66417
B2038,K66233
B2038,K66910
B2043,K32165
B2049,K14412
B2051,K64563
B2051,K23079
B2051,K44554
B2051,K39105
B2052,K59380
B2052,K60394
B2052,K62323
B2052,K62253
B2054,K14826
B2056,K59383
B2062,K22373
B2062,K22035
B2064,K14907
B2069,K69977
B2076,K62227
B2077,K33442
B2077,K13796
B2080,K9896
B2081,K9896
B2083,K58776
B2090,K9625
B2090,K22749
B2093,K33905
B2093,K60411
B2097,K62395
B2097,K62327
B2100,K56965
B2100,K17229
B2100,K22278
B2107,K62395
B2107,K33859
B2109,K4178
B2109,K4149
B2122,K33229
B2124,K22035
B2126,K39752
B2126,K69987
